;BETTY FARIA-A;MARCELO COUTINHO-F;RODRIGO SANTIAGO-A;FERNANDO EIRAS-A;MARIA CARMEM-DA;MARC DE ROSSI-E;ROBERTO GRANJA-DA;FELIX MONTI-F;UGO GIORGETTI-R;ANTONIO LUIZ MENDES-F;SERGIO BIANCHI-D;VERA ZIMMERMANN-A;NUNO LEAL MAIA-A;GUILHERME DE ALMEIDA PRADO-D;JOSE TADEU RIBEIRO-F;MARCIO CURI-PE;CRISTIANO AMARAL-DA;RICARDO PARENTE-E;KAREN HARLEY-E;CEZAR MIGLIORIN-E;LUIZ ALBERTO PEREIRA-D;TARCISIO VIDIGAL-P;MARCO NANINI-A;MARY GESSY-R;GIBA ASSIS BRASIL-R;CARLA CAMURATI-D;MARIA PADILHA-A;WALTER SALLES-E;DENISE FRAGA-A;GILBERTO GIL-A;MARGIT RICHTER-PE;CARLA CAMURATI-PE;ANDRE LUIZ OLIVEIRA-R;FABIO BARRETO-D;ISABEL GIORGETTI-DA;CASSIO MARADEI-PE;ASSUNCAO HERNANDES-PE;LUIZ FERRE-D;MARCELO TORRES-P;FELIPE TASSARA-DA;LUDMILA DAYER-A;CLOVIS BUENO-DA;JOSE MAYER-A;VALERIA MAURO-E;DANILO TADEU-E;DENISE BANDEIRA-A;LUIZ CARLOS BARRETO -PE;BRENT HIEATT-A;MARIETA SEVERO-A;GAL COSTA-A;ALEXANDRE PATERNOST-A;EDUARDO POIANO-F;JAIRO MATTOS-A;CLAUDIO PORTIOLI-F;FERNANDA TORRES-A;LUCY BARRETO-P;SAMUEL COSTA-A;OTAVIO AUGUSTO-A;TOM ZE-A;MELANIE DIMANTAS-R;CLAUDIO MARZO-A;HELVECIO RATTON-D;JULIO BRESSANE-D;MARCIO CURI-P;CAMILA PITANGA-A;JOAO DE BARTOLO-PE;JULIANA DE CARVALHO-PE;ESTER GOES-A;LUANA PIOVANI-A;ANTONIO CALMON-R;ROBERTO BOMTEMPO-A;UGO GIORGETTI-D;FERNANDO ALVES PINTO-A;PAULO SACRAMENTO-P;CHRISTIAN LESAGE-F;JULIO BRESSANE-R;ILANA KAPLAN-A;BRUNO CAMPOS-A;VERA FREIRE-E;PATRICIA PILLAR-A;RENATO BORGHI-A;FERNANDO BORGES-A;CARLITO CONTINI-DA;GILBERTO SANTEIRO-E;CHRISTIANE TORLONI-A;GUGA DE OLIVEIRA-PE;ANNE FRENCH-P;LUIZ ALBERTO PEREIRA-A;PERRY SALLES-A;ROBERTO BONFIM-A;CARLOS ALBERTO WATANABE -PE;AMAURI ALVES-E;WALTER SALLES-D;JOAO DE BARTOLO-P;MARCELO SERRADO-A;JULIO BRESSANE-P;GLORIA PIRES-A;LUIS MELO-A;LUIZ CARLOS ARUTIM-A;RODOLFO SANCHEZ-F;BRENO SILVEIRA-F;MARCAL SOUZA-P;IARA MOREIRA-P;PAULO FLAKSMAN-DA;DANIELA THOMAS-DA;ANDRE LUIZ OLIVEIRA-D;FLAVIO TAMBELLINI-P;LYGIA CORTEZ-A;DANIELA THOMAS-R;LUIZ FERNANDO PEREIRA-DA;GUILHERME DE ALMEIDA PRADO-R;ANTONIO DA CUNHA TELLES-PE;LUIZ ELIAS-E;WALTER CARVALHO-F;TADEU BURGOS-DA;LUIZ ALBERTO PEREIRA-R;GIULIA GAM-A;SERGIO BIANCHI-R;
CARLOTA JOAQUINA, PRINCESA DO BRAZIL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
CAUSA SECRETA;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;
EFEITO ILHA;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
LOUCO POR CINEMA;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
MENINO MALUQUINHO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
O MANDARIM;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
O QUATRILHO;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PERFUME DE GARDENIA;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;
SABADO;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SUPER COLOSSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
